"","p.value","HR","Low 95%CI","High 95%CI"
"AGTR2",0.0491475484914485,1.33525037054333,1.00108008091252,1.78096996037613
"ATP2A3",0.0328565645692538,0.868432421513234,0.762893533446943,0.988571586559122
"BAG3",0.0146801336072276,1.33270153807542,1.05814859863369,1.67849146318572
"BOK",0.0234789038625596,1.32485650510206,1.03867250053494,1.68989239457794
"CASP3",0.00257854960672398,0.583842308982452,0.41145190340952,0.828460966964319
"CASP8",0.00986321227989709,0.607471578941948,0.416019160574055,0.887030584632253
"CD27",0.00592247718202207,0.847429612502606,0.753182315967145,0.953470272631365
"CD38",0.00715112147053152,0.841592976216865,0.742207010158798,0.954287318663322
"CD3E",0.00879195807578926,0.829223001679322,0.720828730861374,0.953917008402794
"CDKN2D",0.0134959821096329,1.31315784346223,1.05790571403469,1.62999736079489
"DDIT3",0.0201777363108495,1.19749467767558,1.0285686060816,1.39416417590678
"DDX47",0.0137391979327533,0.831604217162124,0.718150543937048,0.962981341224816
"DEDD2",0.0423881421591836,1.36726997491143,1.01080400681458,1.84944575970325
"DEPTOR",0.00855551275982133,1.32759330054682,1.07480390155401,1.63983771282229
"E2F2",0.0174698013368352,0.81774426562371,0.692717074252154,0.965337377720023
"FAS",0.000560310819725447,0.711278837347173,0.586119497980587,0.86316457002545
"FGFR3",0.0125614377691683,0.863120811707417,0.76890316253071,0.96888343279862
"GZMB",0.00202536792438862,0.868155980002883,0.79360875365191,0.949705761367331
"HSPA1A",0.000323037321946109,1.22644592747075,1.09731842314569,1.37076857663391
"HSPA1B",0.00488973350611684,1.20889070154349,1.05927411418452,1.37963980117024
"HSPB1",0.00488622560393442,1.3050960028184,1.0842003745866,1.57099703753747
"HYAL2",0.0392738875703102,0.749940876852023,0.570424542527074,0.985952175693575
"IKBKE",0.00170187856076425,0.637377733828794,0.481082477526879,0.844450576685223
"INHBB",0.0176989807543652,1.1459842342293,1.02394552814046,1.28256809469847
"KITLG",0.0198851306197972,0.764423929905405,0.609724712571166,0.958373397968219
"LTBR",0.0477346648542409,1.47771367539931,1.00390502409776,2.17514371782793
"MAEL",0.0448261859897452,1.08388772776193,1.00186144109669,1.17262982504539
"MAPK7",0.00274999388711919,0.700411006466912,0.554790826182019,0.884253226312436
"MDM2",0.00862094949416609,0.72155731393468,0.565611281714865,0.920499597734504
"MFF",0.0324100143525166,1.75354729580457,1.04821215983037,2.93349785135209
"MMP9",0.00623995698838377,0.859740062369949,0.771491974392404,0.958082519816245
"NCK2",0.000823160993811944,1.77005127871234,1.2667079776035,2.47340475047667
"P4HB",0.000756218357849478,0.686155710027435,0.55111297229563,0.85428883381591
"PDIA3",0.0216287057006444,0.783346329158313,0.636005385095872,0.964821188288059
"PERP",0.0143354967575354,1.41054106666165,1.07107057066961,1.85760504977288
"PINK1",0.0453232404106308,1.29319048428033,1.00536793761919,1.66341253391615
"POU4F1",0.0175168402764999,1.1142716203521,1.01911411567066,1.21831424452897
"PPIF",0.0446287082230581,0.719735904873168,0.522122747473273,0.992141743048868
"PPP1R15A",0.0128440871511228,1.30559027209706,1.05823076272266,1.61076961532369
"PPP2R1B",0.0123924849447887,0.663230871378595,0.480723449291867,0.915027526528135
"PSME3",0.0427312059151715,0.727039703433055,0.534134136479843,0.9896142078685
"RB1CC1",0.0326793331643482,1.44236355366294,1.0306472095183,2.01854970519692
"RIPK1",0.0392724114980117,0.620578714625413,0.39425946699677,0.976813426903163
"RNF34",0.031531081134928,0.611432783055437,0.390489602821021,0.957387970112663
"RPL11",0.000381203652486789,1.89092039118264,1.33057746393334,2.68723920456347
"SCG2",0.00137464911745883,1.14557701764465,1.05407543748523,1.24502161485381
"SENP1",0.00637487270721676,0.517405185033942,0.322268413656188,0.830699237516998
