"","p.value","HR","Low 95%CI","High 95%CI"
"ACAA2",0.0394045131045772,0.775288448303401,0.608542939574185,0.987723526121729
"ARHGEF2",0.0342049368691203,1.47652210924003,1.02944199591341,2.11776627311597
"ATP2A1",2.41752039274226e-05,1.85414953904823,1.39211668665057,2.46952755190678
"AVP",0.00418503278349494,2.82279842025284,1.3875386157296,5.74268047825977
"BCL10",0.00226557358638318,0.647000207355334,0.489225798039633,0.855656570023998
"BMP5",0.032281294994489,0.751404515397528,0.578413651002051,0.976133161417714
"BOK",0.0143621815225129,1.35825935442137,1.06295489455883,1.73560372440719
"CTNNA1",0.00232777338345044,0.568486219959436,0.395216369751761,0.817720638663724
"CX3CL1",0.0153231437047225,1.23363761710517,1.0410610047342,1.46183726353816
"DAPK1",0.00187428149245955,1.28710962748126,1.09779791729905,1.50906753150969
"FAS",0.042916194701271,0.807482911482758,0.656490029311937,0.993204196901601
"FASTK",0.0170500747053311,1.66380300208914,1.09509233070181,2.52786030195898
"HINT1",0.0339361252375824,0.690336645929264,0.490150165448611,0.972283023258168
"HSPA1A",0.000913639061256351,1.27335408462517,1.10386225244683,1.46887043309754
"HSPA1B",0.0217666909051772,1.29050526706688,1.03787525389919,1.60462814588805
"HSPB1",0.0309527190375421,1.2424444317237,1.02009105726101,1.51326507073404
"IL33",0.0488733965292389,0.890566306576393,0.793562567845304,0.999427617361767
"IL4",0.0431101298027344,2.52910606211583,1.02916997788931,6.21508362160852
"IL7",0.00860819920485842,0.732695040608759,0.580969828075237,0.924044583022906
"INCA1",0.0107159413434362,1.5422618602185,1.10570908669542,2.15117310159162
"ING5",0.00514638718958653,1.84561643561008,1.20141869385641,2.8352314183328
"INHBB",0.0115267892864352,1.18038807671329,1.03787834230954,1.34246563864743
"MADD",0.0311453344023775,1.58354034259969,1.04252143250538,2.40532226816143
"MAGEA3",0.0461155920587392,1.09798641490055,1.00161227086724,1.20363358394394
"MAPK9",0.0401907846769443,0.571988666655424,0.335453194018301,0.975310536957953
"MLLT11",0.0209710499908325,1.36918582230696,1.04858412636991,1.78781059989558
"NFATC4",0.0100812378571002,1.44473622136494,1.09162185988711,1.91207489151939
"NGF",0.00170559744971511,1.61692794873038,1.19760058811486,2.18307841306328
"NGFR",0.0282550792872604,1.2088799530017,1.02041941606346,1.43214713260465
"NOG",2.13926902532597e-05,2.77341287045121,1.7326168364689,4.43942295150524
"NOL3",7.94280218058414e-05,2.05397741051417,1.43659787799506,2.93667648235034
"PCGF2",0.0112966957507336,1.44331006201528,1.08660164699394,1.91711833023403
"PLEKHF1",0.0431663330688224,1.29371184891522,1.00794407024073,1.66049922554126
"POU4F1",0.000100836382317952,2.04004672707704,1.42420198580717,2.92219129739454
"POU4F2",7.54974010393483e-05,23.0430213412733,4.87379610621847,108.94604964227
"RBCK1",0.0294279278802782,1.42990766492293,1.03640324556852,1.97281891864758
"SERPINE1",0.0374314418796549,1.15376818652708,1.00835562019865,1.32015035328482
"SFRP2",0.0231879633104799,1.09448643400989,1.0124187221906,1.18320663967943
"SIAH2",0.0224723354843978,1.77565055143061,1.08446711356902,2.90735868459804
"SNAI1",0.00875131138194221,1.39523857904609,1.08769465282034,1.78974005931801
"STK25",0.00161235556097329,2.13024283384335,1.33141757447437,3.40834807812455
"TERT",0.00596105572574461,1.38312620347322,1.09765164217412,1.74284629223995
"TGFB2",0.0451804099213724,1.27739076724238,1.00527050083701,1.62317224157823
"TMC8",0.016542251848451,1.29172794091559,1.04775330597162,1.5925132985333
"TNFRSF10C",0.0427440483065554,0.752409276620415,0.571409044151537,0.990743365613097
"TNFRSF25",0.0430017039209431,1.26965640265172,1.00754685163629,1.59995277457967
"TRADD",0.0389743453535501,1.4635345012471,1.01946416008714,2.10103829070118
"TRAF1",0.00160871910310541,1.61547118690212,1.19914237081042,2.17634471038429
