"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC39A8",-1.03787657816057,5.05671597448694,-12.6774990627653,1.78532996708042e-31,3.42069221692609e-27,60.4520278991924
"INHBB",1.38567917285637,2.54726114412861,12.4264324039574,1.80801769165014e-30,1.73208094860083e-26,58.1926535780906
"HSPA1A",1.36386675293116,4.86151608188794,12.2495354414543,9.12302869030462e-30,5.82657432354122e-26,56.6131646093196
"PDLIM7",0.82774276923333,5.00899042139002,11.1345624151739,1.88839902221618e-25,9.04543131641548e-22,46.9171562676608
"TPM2",1.12940064697905,6.24023920420184,11.0030097891544,5.9049708654651e-25,2.26278483564623e-21,45.8051700229414
"TSPYL2",0.599506265109414,3.34062100427295,10.4165939833573,8.67995149225023e-23,2.77179784319191e-19,40.9389771129511
"CRYAB",1.0028072944421,3.04548303972566,10.3488667287149,1.52923593707192e-22,4.18573722204256e-19,40.3868922802113
"CSDC2",0.716154497873257,1.0776166762211,9.99049238422809,2.9525721580132e-21,7.07141031844161e-18,37.5015476080324
"HSPB1",0.945249890372263,8.86132069725252,9.7821644793262,1.60353817646513e-20,3.41375460678576e-17,35.8529300893652
"LIMS2",0.846721710046574,2.57830327099049,9.73332268299441,2.37683193775582e-20,4.55400999274016e-17,35.4695567650502
"RCN3",0.885215654738537,5.17010884995649,9.69376460670988,3.26620244936385e-20,5.68913081180103e-17,35.1599401441688
"PALM",0.846642773436511,2.04941607528817,9.68106692477168,3.61643047174722e-20,5.77423398655639e-17,35.0607257277448
"MYL9",1.14071268220913,6.990882981404,9.65631083614843,4.40984857199786e-20,6.34886920705192e-17,34.8675287954549
"L1CAM",1.21400802532236,1.65485488894275,9.64998061812432,4.63904848114441e-20,6.34886920705192e-17,34.8181780386868
"ISM1",0.962615861865425,1.46064312342499,9.62337803508822,5.73861762439157e-20,7.33012757888949e-17,34.6110075619866
"SLC22A17",0.699217361476178,1.95222408067068,9.61371598822702,6.19897348591859e-20,7.42327074938751e-17,34.5358534320391
"SSC5D",1.04972691954928,2.14184252019281,9.58294930797514,7.92306263835611e-20,8.92975765593547e-17,34.2968623165371
"FLNA",1.06606951058102,7.1900371578168,9.51838133789089,1.32390198701589e-19,1.40922011506802e-16,33.796902842028
"DACT3",0.702244472777,1.46053411648031,9.48022636722302,1.79128699888972e-19,1.79948686493859e-16,33.5024849574386
"MXRA8",0.965869064953761,5.03995642142814,9.47422654111431,1.87837877342233e-19,1.79948686493859e-16,33.4562574772317
"HSPB7",1.07636553032822,1.71145608000012,9.46637563093075,1.99871030817323e-19,1.82358521450472e-16,33.3957963105945
"FSTL3",0.925297199638659,4.28812125116522,9.37280083243192,4.17901557065636e-19,3.20279753335104e-16,32.6776651544496
"ARHGEF25",0.794626481524324,2.32731454083248,9.34300465923664,5.28015841828314e-19,3.8910705882425e-16,32.4499726314367
"SPEG",0.635320966899982,0.791799372461993,9.32533568165092,6.06431384689184e-19,4.30341678912769e-16,32.3151760655256
"PRELP",1.27867779958234,2.34936105114111,9.27879075884153,8.7265788854363e-19,5.97147326589141e-16,31.960886352252
"SCARF2",0.901961369274382,2.89140102891438,9.27135692480366,9.24786874478377e-19,6.10997121207093e-16,31.9044095635772
"COMP",1.66687472454999,3.08323895449718,9.24611550999549,1.12590762967273e-18,7.19079672817647e-16,31.7128664948463
"HTRA3",1.10611279754594,5.11306389132059,9.16275277434587,2.15119221654119e-18,1.32957557641707e-15,31.0827286740524
"EFEMP2",0.813309022751143,3.84780410857948,9.15336357832951,2.31336933305499e-18,1.33404901773716e-15,31.0119932806943
"ATG9B",0.703188918609484,1.71445099427897,9.14871067274102,2.39816965117294e-18,1.33404901773716e-15,30.976957568963
"DDAH2",0.710951450408521,6.50554368432595,9.09166800704421,3.72509291624189e-18,1.95502896816943e-15,30.5484008627215
"LTBP3",0.827903263138709,3.99041087219713,9.08992784371574,3.7753690930203e-18,1.95502896816943e-15,30.5353553285483
"C4orf19",-0.613101991485496,4.15593700442101,-9.07913545848215,4.10253931415864e-18,2.01740933164022e-15,30.4544850854544
"TAGLN",1.19301376748814,6.68285230874653,9.05176731077082,5.06355238377588e-18,2.37799051908892e-15,30.2496971049034
"CNN1",1.42139535337025,4.42751271191323,9.05112494625841,5.0886018414742e-18,2.37799051908892e-15,30.244895461507
"HAND2",0.814838984410773,1.03785731093678,9.0145987724133,6.73440365137012e-18,3.07217080857742e-15,29.9722412993217
"CCDC8",0.765296788161217,1.77505383574381,9.0101607296649,6.9672941732585e-18,3.10449665952634e-15,29.9391635788166
"EFS",0.634718317173473,1.82473685395986,8.97571209981802,9.06795351102516e-18,3.85840951095139e-15,29.6827843107169
"AEBP1",1.22642945896552,6.46872330878636,8.97439503105903,9.15965505892853e-18,3.85840951095139e-15,29.6729953797051
"NOTCH3",0.827036171779703,4.49738048782098,8.85897906623228,2.20375593018377e-17,8.79665908798354e-15,28.8189744102948
"ZNF512B",0.594475939111215,1.83970591942267,8.85141770812582,2.33361183785533e-17,9.12489853332817e-15,28.7632871970977
"ACTA2",0.989790128341973,7.04275128182279,8.81470846038986,3.07995200505574e-17,1.15709569444839e-14,28.4933970747366
"BGN",1.16776437166135,7.80171470605945,8.77718306700882,4.0868891406366e-17,1.50586146028072e-14,28.2183026445218
"DTX3",0.702260740319662,2.60700794817527,8.76576019833649,4.45367864136854e-17,1.61004684469097e-14,28.1347232306159
"MMP11",1.22038086563906,5.51648974412209,8.76314624475641,4.54209069571219e-17,1.61160106907121e-14,28.1156078698186
"RGMA",0.669088474352205,1.18817669089396,8.72320779296216,6.13025364127723e-17,2.09742249583699e-14,27.8240348268995
"FXYD6",0.846499092177353,2.28156063837994,8.71821620578618,6.36393633008205e-17,2.1391757909539e-14,27.7876581697962
"RUSC2",0.626906612157973,3.29313523952395,8.71393822381236,6.5712119892072e-17,2.17076589160707e-14,27.7564934440714
"SFRP4",1.60663387829148,4.03900298208785,8.70308965560349,7.12727989014119e-17,2.31455394398484e-14,27.6775100619717
"SHISA4",0.760194226263545,2.8652412463576,8.69902803342009,7.34723857681483e-17,2.34621818552954e-14,27.647956818767
"CASP5",-0.943527042050851,3.18440974035014,-8.65335862775341,1.03338959840727e-16,3.19350721056182e-14,27.3163157501054
