"","p.value","HR","Low 95%CI","High 95%CI"
"SLC39A8",0.0034370162606405,0.764055648165374,0.638011417156254,0.915000919725605
"INHBB",0.0115267892864352,1.18038807671329,1.03787834230954,1.34246563864743
"HSPA1A",0.000913639061256351,1.27335408462517,1.10386225244683,1.46887043309754
"TPM2",0.0156936964909071,1.20926442602579,1.03651451163524,1.41080557545161
"TSPYL2",0.000641322854992071,1.72082361154267,1.26003187776706,2.35012617878402
"CRYAB",0.0401683047790998,1.18193631452292,1.00752643865751,1.38653776018962
"HSPB1",0.0309527190375421,1.2424444317237,1.02009105726101,1.51326507073404
"RCN3",0.0351592447245156,1.22364436844126,1.01414109684803,1.4764272398305
"ISM1",0.0191677190825923,1.21663918709916,1.03252271831471,1.43358677279403
"FSTL3",0.00342277820680351,1.27735030683411,1.08423285490737,1.50486475205419
"PRELP",0.0256205881878848,1.1464213027745,1.01678910956547,1.29258052735916
"COMP",0.0424540982979268,1.10150979119616,1.00329688086393,1.2093367808103
"DDAH2",0.0486057584233188,1.28853643474659,1.00155278034338,1.65775201892027
"LTBP3",0.0365727504416307,1.22891461389975,1.01295471117387,1.49091673260124
"C4orf19",0.0278408747399354,0.773205156194786,0.614830894420834,0.972375036764165
"CCDC8",0.0370255459188507,1.22865801058001,1.01247091760035,1.49100629037357
"NOTCH3",0.0180606642628324,1.25571900944734,1.0397162069708,1.51659675988075
"BGN",0.0309834174968984,1.16328299728275,1.01393025127672,1.33463552356109
"RUSC2",0.0258184498647302,1.33491218513434,1.0354723797509,1.72094454363799
"GADD45B",0.0350747545983194,1.29308192957841,1.01815553376368,1.64224504130655
"GGT5",0.0376356098602055,1.21175612340151,1.01104047070765,1.45231862140329
"KCNE4",0.028577804055568,1.24554958097652,1.02326444045409,1.51612202802859
"ARHGEF17",0.0134050643160861,1.31015013620663,1.05762611072401,1.62296804324092
"PLXNB3",0.0215455813422636,1.28057840063249,1.03707654542218,1.58125361855415
"ADAMTSL2",0.0367409175411839,1.22779302812238,1.01272245346071,1.48853786617896
"CILP2",0.00356167251549083,1.31574548437463,1.09403829272953,1.5823817056102
"SNCG",0.0385301797896152,1.1994736128909,1.00964553759633,1.42499213282985
"FHL3",0.043239761047691,1.2467544709382,1.00672403075745,1.54401470841506
"SEMA4C",0.00138175887400103,1.55862888130043,1.18749610429196,2.04575322886832
"CALB2",0.00384410543308929,1.19471288549981,1.05895285919516,1.34787763816429
"HOMER3",0.00296863312786737,1.38144348200427,1.11623225401767,1.70966757778518
"BCAM",0.0122462959733759,1.26228415381478,1.05198279427082,1.51462675402056
"GPC1",0.00762825889049993,1.303775492286,1.07294051109609,1.58427286201459
"CERCAM",0.0368605231863855,1.19111035979078,1.01072649822383,1.40368724050879
"SFRP2",0.0231879633104799,1.09448643400989,1.0124187221906,1.18320663967943
"GRP",0.0266105680930536,1.18062214913463,1.01944949459472,1.36727583506371
"UCHL1",0.0348874093188176,1.17123535238638,1.01127878858658,1.35649265678454
"CCL28",0.0363469814314082,0.848442685799505,0.727415781848947,0.989605957210535
"TIMP1",0.00912268366008948,1.35995740901003,1.07933468913521,1.71354091825134
"CRIP2",0.0250464785596171,1.25853678580964,1.02922792965049,1.53893495853143
"FAS",0.042916194701271,0.807482911482758,0.656490029311937,0.993204196901601
"RAB3IL1",0.00975896646486344,1.31305804952504,1.06800777751904,1.61433416283502
"PBK",0.024782834231506,0.811875650684407,0.676803538489914,0.973904589276985
"SERPINE1",0.0374314418796549,1.15376818652708,1.00835562019865,1.32015035328482
"NGFR",0.0282550792872604,1.2088799530017,1.02041941606346,1.43214713260465
"RTL8C",0.0391262424415463,1.21015170682275,1.00955956466963,1.45060004855211
"CTF1",0.0230856500069992,1.24760378607782,1.03085046641316,1.50993306764617
"CILP",0.0238354219199014,1.16324616905105,1.0202644785146,1.32626556967071
"PLIN4",0.0438469652658431,1.13230555962784,1.00343272946829,1.27772977969685
"LAMP5",0.00419150909533147,1.32577114557595,1.09304891258413,1.60804252234822
"CLDN9",0.0192378810051815,1.24251268709078,1.03596542492497,1.49024063973309
"SCT",0.0284337938008928,1.16610109041687,1.01635156489182,1.33791475316531
"ARL4C",0.0351034078503657,1.20122277654357,1.01288990036389,1.42457354779493
"TNFRSF11A",0.0348325302236885,0.813138373430877,0.67100957844624,0.985371946368998
"ATOH1",0.00101354484017952,0.8379997835309,0.75417538466343,0.931141020349305
"CDKN2A",0.00210993304610638,1.23333289555021,1.07898105964096,1.40976527590987
"DNASE1L3",0.021607455848283,0.788812827117712,0.644276668967269,0.965774031865569
"ASRGL1",0.00486693125169304,0.752534794978809,0.617417683104916,0.917221247706906
"OLFM2",0.00460908196293807,1.26702939464912,1.07567073566817,1.49243019603736
"HEPACAM2",0.0066899306287559,0.861810068298281,0.773983488493107,0.959602633470005
"GPX3",0.0157997122701752,1.21418554613812,1.03714340264598,1.42144908475493
"TNFRSF19",0.0147731793810216,1.19914949346239,1.0362450065545,1.3876636302956
"TMEM236",0.0212381356741547,0.814463190488751,0.683978769517803,0.969840466143078
"NOS2",0.0230801119266394,0.87925788143991,0.786882429339265,0.98247767804824
